,place,winddev
0,foz,0.841293406908909
1,aguda,0.5666796975933178
2,esposende,0.9586287744404132
3,espinho,0.44449329150387423
4,povoa,0.8007596940301183
5,vila_do_conde,0.8040912080003504
6,vila_praia,0.9879908350940386
7,costa_nova,0.5049852731627895
8,praia_mira,0.3625632167085229
9,palheiros,0.3462180913633069
10,figueira_foz,0.659999240054089
11,pedrogao,0.29455095816458304
12,sao_martinho,0.8389761126966823
13,ericeira,0.24424688825288127
14,azenhas,0.1045330662579267
15,quaios,0.25858038191429894
16,vieira,0.11001123193010598
17,foradouro,0.278567742332085
18,nazare,0.3850137822928013
19,cascais,0.3497082246330254
20,costa_caparica,0.9565705158421278
21,praia_corvoeiro,0.5956321667018134
22,zambujeira,0.054724846619969805
23,sesimbra,0.5917014498668789
24,armacao,0.6855440594411972
25,olhao,0.4670903702265793
26,monte_gordo,0.43585927839361965
27,albufeira,0.22405620855909772
28,faro,0.5082005855291221
29,quarteira,0.7541408291225642
